Dist Code,Year,State Name,Dist Name,RICE AREA (1000 ha),RICE PRODUCTION (1000 tons),RICE YIELD (Kg per ha),WHEAT AREA (1000 ha),WHEAT PRODUCTION (1000 tons),WHEAT YIELD (Kg per ha),COTTON AREA (1000 ha),COTTON PRODUCTION (1000 tons),COTTON YIELD (Kg per ha)
1,2010,Chhattisgarh,Durg,777.92,1319.18,1695.77,46.12,45.87,994.69,0.0,0.0,0.0
1,2011,Chhattisgarh,Durg,806.55,1416.48,1756.23,44.98,50.19,1115.68,0.08,0.02,250.0
1,2012,Chhattisgarh,Durg,807.07,1534.22,1900.97,43.87,47.69,1087.1,0.13,0.02,153.85
1,2013,Chhattisgarh,Durg,819.44,1296.24,1581.86,41.54,43.33,1043.06,0.05,0.01,200.0
1,2014,Chhattisgarh,Durg,834.87,1444.24,1729.89,44.25,50.96,1151.49,0.05,0.02,400.0
1,2015,Chhattisgarh,Durg,817.68,880.6,1076.95,48.72,54.6,1120.74,0.05,0.01,200.0
1,2016,Chhattisgarh,Durg,858.91,1791.66,2085.96,48.94,61.84,1263.55,0.06,0.02,317.81
1,2017,Chhattisgarh,Durg,841.13,983.21,1168.92,43.5,50.19,1153.77,0.45,0.13,297.85
2,2010,Chhattisgarh,Bastar,621.89,1184.98,1905.45,1.6,3.2,2000.0,0.0,0.0,0.0
2,2011,Chhattisgarh,Bastar,627.73,772.88,1231.23,1.33,2.49,1872.18,0.0,0.0,0.0
2,2012,Chhattisgarh,Bastar,637.8,1341.33,2103.06,1.25,2.47,1976.0,0.0,0.0,0.0
2,2013,Chhattisgarh,Bastar,642.79,1265.91,1969.4,0.97,1.75,1804.12,0.0,0.0,0.0
2,2014,Chhattisgarh,Bastar,646.7,1377.04,2129.33,0.81,1.86,2296.3,0.0,0.0,0.0
2,2015,Chhattisgarh,Bastar,644.56,664.46,1030.87,0.84,1.75,2083.33,0.0,0.0,0.0
2,2016,Chhattisgarh,Bastar,656.26,1294.97,1973.24,0.67,1.53,2265.58,0.0,0.0,0.0
2,2017,Chhattisgarh,Bastar,660.36,801.82,1214.23,1.24,2.22,1783.13,0.0,0.0,0.0
3,2010,Chhattisgarh,Raipur,915.4,1521.13,1661.71,11.3,15.2,1345.13,0.0,0.0,0.0
3,2011,Chhattisgarh,Raipur,958.01,1421.37,1483.67,10.54,17.89,1697.34,0.0,0.0,0.0
3,2012,Chhattisgarh,Raipur,993.68,1974.69,1987.25,9.76,17.75,1818.65,0.0,0.0,0.0
3,2013,Chhattisgarh,Raipur,1009.22,1749.21,1733.23,9.21,15.86,1722.04,0.0,0.0,0.0
3,2014,Chhattisgarh,Raipur,1034.99,2127.73,2055.8,10.38,21.24,2046.24,0.0,0.0,0.0
3,2015,Chhattisgarh,Raipur,986.91,1412.83,1431.57,10.99,19.3,1756.14,0.01,0.0,0.0
3,2016,Chhattisgarh,Raipur,1009.29,2432.48,2410.09,8.8,17.95,2038.28,0.01,0.01,408.0
3,2017,Chhattisgarh,Raipur,959.01,1520.95,1585.96,14.56,23.66,1625.61,0.03,0.01,360.0
4,2010,Chhattisgarh,Bilaspur,705.67,1333.61,1889.83,24.88,30.13,1210.79,0.0,0.0,0.0
4,2011,Chhattisgarh,Bilaspur,749.08,1557.35,2079.01,19.08,26.28,1377.75,0.0,0.0,0.0
4,2012,Chhattisgarh,Bilaspur,747.27,1746.82,2337.61,18.7,27.31,1460.32,0.0,0.0,0.0
4,2013,Chhattisgarh,Bilaspur,726.15,1577.16,2171.95,19.88,26.97,1356.73,0.0,0.0,0.0
4,2014,Chhattisgarh,Bilaspur,728.84,1683.92,2310.43,18.11,28.15,1554.83,0.0,0.0,0.0
4,2015,Chhattisgarh,Bilaspur,731.83,1340.65,1831.92,17.82,27.03,1516.74,0.0,0.0,0.0
4,2016,Chhattisgarh,Bilaspur,727.5,1858.19,2554.21,16.2,25.1,1549.23,0.0,0.0,0.0
4,2017,Chhattisgarh,Bilaspur,727.94,1295.71,1779.97,15.8,21.72,1374.7,0.0,0.0,0.0
5,2010,Chhattisgarh,Raigarh,435.05,598.26,1375.15,3.4,5.5,1617.65,0.0,0.0,0.0
5,2011,Chhattisgarh,Raigarh,421.32,602.66,1430.41,3.63,6.27,1727.27,0.0,0.0,0.0
5,2012,Chhattisgarh,Raigarh,422.65,641.28,1517.28,3.44,6.08,1767.44,0.0,0.0,0.0
5,2013,Chhattisgarh,Raigarh,418.44,580.76,1387.92,6.67,11.5,1724.14,0.0,0.0,0.0
5,2014,Chhattisgarh,Raigarh,408.9,657.79,1608.68,3.62,7.5,2071.82,0.0,0.0,0.0
5,2015,Chhattisgarh,Raigarh,409.45,414.89,1013.29,3.56,6.15,1727.53,0.0,0.0,0.0
5,2016,Chhattisgarh,Raigarh,424.24,763.72,1800.23,3.87,7.12,1840.7,0.0,0.0,0.0
5,2017,Chhattisgarh,Raigarh,411.12,623.29,1516.07,3.91,6.76,1728.83,0.0,0.0,0.0
6,2010,Chhattisgarh,Surguja,371.28,399.46,1075.9,23.98,27.45,1144.7,0.0,0.0,0.0
6,2011,Chhattisgarh,Surguja,377.14,530.08,1405.53,25.29,32.02,1266.11,0.01,0.0,0.0
6,2012,Chhattisgarh,Surguja,373.71,610.07,1632.47,25.21,41.92,1662.83,0.01,0.0,0.0
